GT	Gx	Gy	Gz	Temperature	Gyrox	Gyroy	Gyroz
 1.023	 1.022	 0.007	-0.044	 21.7	-38.620	-26.810	-14.069
 1.024	 1.023	 0.002	-0.043	 21.5	-38.803	-26.993	-13.443
 1.027	 1.025	 0.006	-0.048	 21.6	-38.834	-26.733	-13.870
 1.030	 1.029	-0.001	-0.048	 21.5	-38.773	-26.749	-14.008
 1.028	 1.027	 0.004	-0.042	 21.5	-38.605	-26.962	-13.870
 1.029	 1.028	 0.003	-0.044	 21.6	-38.956	-26.886	-13.535
 1.027	 1.026	-0.001	-0.044	 21.5	-38.818	-26.962	-13.733
 1.018	 1.017	 0.002	-0.040	 21.6	-38.788	-26.962	-14.481
 1.030	 1.029	 0.001	-0.042	 21.6	-38.681	-26.855	-13.901
 1.025	 1.024	 0.001	-0.043	 21.5	-38.910	-26.779	-13.626
 1.023	 1.022	-0.002	-0.045	 21.5	-38.742	-26.749	-13.916
 1.028	 1.027	-0.005	-0.042	 21.6	-38.513	-27.023	-14.328
 1.028	 1.028	 0.004	-0.043	 21.6	-38.712	-26.657	-13.840
 1.027	 1.026	 0.001	-0.046	 21.5	-38.818	-26.733	-13.687
 1.022	 1.022	-0.001	-0.037	 21.5	-38.696	-26.947	-14.145
 1.021	 1.020	-0.002	-0.042	 21.7	-38.925	-27.023	-14.374
 1.028	 1.028	-0.003	-0.043	 21.6	-38.818	-26.825	-13.657
 1.020	 1.020	 0.006	-0.036	 21.5	-38.666	-26.886	-13.779
 1.022	 1.021	-0.002	-0.045	 21.5	-38.574	-26.810	-14.114
 1.023	 1.023	 0.006	-0.036	 21.4	-38.757	-26.932	-14.191
 1.020	 1.019	-0.000	-0.046	 21.5	-38.559	-26.703	-13.657
 1.024	 1.023	 0.006	-0.042	 21.5	-38.742	-26.810	-13.657
 1.030	 1.029	 0.004	-0.047	 21.6	-38.635	-26.779	-14.175
 1.032	 1.031	-0.001	-0.044	 21.5	-38.666	-27.008	-14.053
 1.022	 1.022	 0.005	-0.038	 21.5	-38.742	-26.871	-13.626
 1.025	 1.024	-0.006	-0.045	 21.6	-38.788	-26.718	-13.794
 1.021	 1.021	 0.002	-0.042	 21.5	-38.773	-26.840	-14.297
 1.023	 1.022	-0.002	-0.042	 21.6	-38.620	-27.023	-14.084
 1.024	 1.024	 0.003	-0.033	 21.5	-38.773	-26.703	-13.504
 1.027	 1.026	 0.005	-0.045	 21.6	-38.788	-26.825	-14.175
 1.025	 1.024	 0.003	-0.041	 21.5	-38.910	-26.825	-14.389
 1.024	 1.023	-0.002	-0.044	 21.5	-38.681	-26.718	-13.779
 1.024	 1.023	 0.001	-0.041	 21.5	-38.773	-26.855	-13.657
 1.021	 1.021	-0.002	-0.039	 21.5	-38.818	-26.779	-14.206
 1.020	 1.019	 0.005	-0.042	 21.5	-38.788	-26.978	-14.191
 1.029	 1.028	 0.002	-0.037	 21.6	-38.681	-26.794	-13.596
 1.025	 1.024	-0.000	-0.046	 21.6	-38.803	-26.810	-13.901
 1.032	 1.031	-0.002	-0.044	 21.5	-38.757	-26.962	-14.114
 1.023	 1.022	-0.002	-0.040	 21.5	-38.818	-26.962	-14.130
 1.028	 1.027	 0.003	-0.037	 21.5	-38.574	-26.901	-13.687
 1.029	 1.029	 0.004	-0.040	 21.5	-38.696	-26.917	-13.626
 1.020	 1.019	 0.004	-0.035	 21.5	-38.544	-26.810	-14.297
 1.022	 1.021	 0.002	-0.045	 21.5	-38.849	-26.810	-14.160
 1.024	 1.023	-0.000	-0.044	 21.6	-38.849	-26.947	-13.626
 1.024	 1.023	 0.006	-0.042	 21.6	-38.818	-27.008	-14.053
 1.027	 1.026	 0.004	-0.044	 21.5	-38.773	-26.962	-14.465
 1.025	 1.025	 0.000	-0.036	 21.5	-38.589	-26.779	-13.916
 1.029	 1.028	 0.008	-0.045	 21.6	-38.742	-27.008	-13.733
 1.026	 1.025	-0.002	-0.041	 21.5	-38.437	-26.749	-13.962
 1.022	 1.021	 0.004	-0.044	 21.5	-38.788	-26.962	-14.343
 1.022	 1.021	-0.005	-0.042	 21.6	-38.574	-26.886	-13.733
 1.023	 1.022	 0.001	-0.044	 21.5	-38.635	-26.840	-13.626
 1.027	 1.026	 0.002	-0.044	 21.5	-38.635	-26.840	-14.130
 1.028	 1.027	 0.006	-0.038	 21.5	-38.849	-26.688	-14.343
 1.029	 1.028	 0.002	-0.039	 21.6	-38.544	-26.917	-13.763
 1.031	 1.030	 0.000	-0.041	 21.5	-38.696	-26.978	-13.840
 1.025	 1.024	-0.002	-0.034	 21.6	-38.742	-26.901	-14.313
 1.023	 1.023	 0.000	-0.033	 21.5	-38.681	-26.917	-14.297
 1.022	 1.021	 0.001	-0.042	 21.6	-38.696	-26.901	-13.763
 1.028	 1.027	 0.000	-0.032	 21.5	-38.589	-26.825	-13.855
 1.028	 1.027	 0.005	-0.047	 21.6	-38.803	-27.008	-14.282
 1.021	 1.020	 0.002	-0.044	 21.6	-38.696	-26.901	-14.053
 1.022	 1.021	 0.006	-0.044	 21.6	-38.773	-26.779	-13.550
 1.025	 1.024	 0.004	-0.041	 21.6	-38.925	-26.917	-13.885
 1.030	 1.029	 0.002	-0.049	 21.5	-38.834	-26.733	-14.359
 1.030	 1.029	-0.001	-0.044	 21.6	-38.681	-27.130	-13.824
 1.024	 1.023	-0.000	-0.045	 21.5	-38.849	-26.947	-13.641
 1.028	 1.027	 0.002	-0.044	 21.6	-38.727	-26.825	-14.114
 1.024	 1.024	 0.007	-0.040	 21.6	-38.879	-26.886	-14.328
 1.026	 1.024	 0.003	-0.047	 21.5	-38.666	-26.947	-13.870
